tournament,packet,qid,bpid,part_number,answerline,plays,human_directed_n,human_directed_fraction,human_directed_correct_n,human_directed_accuracy,consulted_n,consulted_fraction,consulted_final_correct_n,consulted_final_accuracy,consult_initial_guess_present_n,abstain_n,abstain_fraction,successful_abstain_n,abstain_precision,standalone_ai_n,standalone_ai_correct_n,standalone_ai_accuracy,raw_directed_minus_ai_gap,wilson_conservative_gap,beta11_strict_adversarial_yield,coverage_aware_directed_minus_ai_gap,consulted_final_minus_ai_delta,evidence_flag,interpretation_note,adversarial_rank
combined,1,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u#2,2,<b>Dutch</b>,5,5,1.0,4,0.8,0,0.0,0,,0,0,0.0,0,,10,0,0.0,0.8,0.098002,0.654762,0.8,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",19
combined,1,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u#3,3,<b>English</b>,5,3,0.6,2,0.666667,2,0.4,1,0.5,1,0,0.0,0,,10,2,0.2,0.466667,-0.302178,0.45,0.2,0.3,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",63
combined,1,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN#1,1,<b>Mexico City</b>,5,5,1.0,5,1.0,0,0.0,0,,0,0,0.0,0,,10,5,0.5,0.5,-0.197889,0.428571,0.5,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",36
combined,1,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN#2,2,<b>Tokyo</b>,5,5,1.0,5,1.0,0,0.0,0,,0,0,0.0,0,,10,5,0.5,0.5,-0.197889,0.428571,0.5,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",37
combined,1,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN#3,3,<b>Lagos</b>,5,3,0.6,3,1.0,1,0.2,1,1.0,1,1,0.2,1,1.0,10,5,0.5,0.5,-0.324904,0.4,0.1,0.5,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",70
combined,1,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb#1,1,<b>The Emperor's New Groove</b>,5,2,0.4,2,1.0,3,0.6,3,1.0,1,0,0.0,0,,10,4,0.4,0.6,-0.344946,0.4375,0.0,0.6,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb#2,2,<b>Indiana Jones and the _Raiders of the Lost Ark_</b>,5,2,0.4,1,0.5,1,0.2,0,0.0,0,2,0.4,2,1.0,10,0,0.0,0.5,-0.183002,0.458333,0.2,0.0,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb#3,3,<b>Casablanca</b>,5,2,0.4,2,1.0,3,0.6,3,1.0,1,0,0.0,0,,10,4,0.4,0.6,-0.344946,0.4375,0.0,0.6,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4#1,1,<b>Belarus</b>,5,3,0.6,2,0.666667,1,0.2,0,0.0,0,1,0.2,1,1.0,10,1,0.1,0.566667,-0.19649,0.5,0.3,-0.1,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",35
combined,1,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4#2,2,<b>Madhya Pradesh</b>,5,2,0.4,1,0.5,2,0.4,0,0.0,1,1,0.2,1,1.0,10,0,0.0,0.5,-0.183002,0.458333,0.2,0.0,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4#3,3,<b>_Caprivi_ strip or _Caprivi_zipfel [also accept _Itenge_ or _Okavango_ Panhandle]</b>,5,3,0.6,1,0.333333,2,0.4,1,0.5,0,0,0.0,0,,10,0,0.0,0.333333,-0.216041,0.366667,0.2,0.5,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",46
combined,1,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7#1,1,<b>St. Louis</b>,5,4,0.8,4,1.0,1,0.2,0,0.0,0,0,0.0,0,,10,3,0.3,0.7,-0.093113,0.555556,0.5,-0.3,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",29
combined,1,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7#2,2,<b>Manaus</b>,5,3,0.6,3,1.0,2,0.4,2,1.0,0,0,0.0,0,,10,5,0.5,0.5,-0.324904,0.4,0.1,0.5,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",71
combined,1,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7#3,3,<b>Chongqing</b>,5,2,0.4,1,0.5,3,0.6,3,1.0,1,0,0.0,0,,10,5,0.5,0.0,-0.668876,0.25,-0.3,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu#1,1,<b>D (ORD and IAD)</b>,5,2,0.4,1,0.5,3,0.6,2,0.666667,1,0,0.0,0,,10,0,0.0,0.5,-0.183002,0.458333,0.2,0.666667,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu#2,2,<b>W (BWI and MDW)</b>,5,2,0.4,1,0.5,2,0.4,1,0.5,0,1,0.2,1,1.0,10,0,0.0,0.5,-0.183002,0.458333,0.2,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu#3,3,<b>K (JFK and PEK)</b>,5,1,0.2,1,1.0,3,0.6,2,0.666667,1,1,0.2,1,1.0,10,0,0.0,1.0,-0.070983,0.611111,0.2,0.666667,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7#1,1,<b>_Guggenheim_ New York</b>,5,3,0.6,3,1.0,2,0.4,2,1.0,2,0,0.0,0,,10,0,0.0,1.0,0.16097,0.733333,0.6,1.0,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",11
combined,1,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7#2,2,<b>Louvre</b>,5,5,1.0,5,1.0,0,0.0,0,,0,0,0.0,0,,10,5,0.5,0.5,-0.197889,0.428571,0.5,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",38
combined,1,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7#3,3,<b>_Vasa_ Museum</b>,5,1,0.2,0,0.0,4,0.8,4,1.0,2,0,0.0,0,,10,5,0.5,-0.5,-0.763407,0.166667,-0.5,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh#1,1,<b>Big 12</b>,5,3,0.6,2,0.666667,2,0.4,1,0.5,0,0,0.0,0,,10,7,0.7,-0.033333,-0.684549,0.2,-0.3,-0.2,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",127
combined,1,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh#2,2,<b>Atlantic Coast Conference (ACC)</b>,5,2,0.4,2,1.0,3,0.6,3,1.0,0,0,0.0,0,,10,1,0.1,0.9,-0.06177,0.625,0.3,0.9,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh#3,3,<b>Sun Belt</b>,5,0,0.0,0,,5,1.0,5,1.0,1,0,0.0,0,,10,5,0.5,,,0.25,-0.5,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj#1,1,<b>Sweden</b>,4,3,0.75,3,1.0,0,0.0,0,,0,1,0.25,1,1.0,10,2,0.2,0.8,-0.071335,0.6,0.55,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",27
combined,1,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj#2,2,<b>Indonesia</b>,4,2,0.5,2,1.0,2,0.5,2,1.0,0,0,0.0,0,,10,1,0.1,0.9,-0.06177,0.625,0.4,0.9,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj#3,3,<b>Chile</b>,4,3,0.75,1,0.333333,1,0.25,1,1.0,1,0,0.0,0,,10,1,0.1,0.233333,-0.342658,0.333333,0.15,0.9,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",87
combined,1,advvqa-packet1-b-rBVTER0aClahEXpwAMQm,advvqa-packet1-b-rBVTER0aClahEXpwAMQm#1,1,<b>Canada</b>,5,4,0.8,4,1.0,1,0.2,1,1.0,0,0,0.0,0,,10,7,0.7,0.3,-0.3821,0.277778,0.1,0.3,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",90
combined,1,advvqa-packet1-b-rBVTER0aClahEXpwAMQm,advvqa-packet1-b-rBVTER0aClahEXpwAMQm#2,2,<b>Mali</b>,5,4,0.8,4,1.0,1,0.2,1,1.0,1,0,0.0,0,,10,5,0.5,0.5,-0.253298,0.416667,0.3,0.5,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",52
combined,1,advvqa-packet1-b-rBVTER0aClahEXpwAMQm,advvqa-packet1-b-rBVTER0aClahEXpwAMQm#3,3,<b>Saudi Arabia</b>,5,1,0.2,1,1.0,4,0.8,4,1.0,2,0,0.0,0,,10,5,0.5,0.5,-0.556858,0.333333,-0.3,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q#1,1,<b>Liechtenstein</b>,5,2,0.4,1,0.5,3,0.6,3,1.0,1,0,0.0,0,,10,5,0.5,0.0,-0.668876,0.25,-0.3,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q#2,2,<b>Canada</b>,5,1,0.2,1,1.0,4,0.8,4,1.0,0,0,0.0,0,,10,8,0.8,0.2,-0.736769,0.166667,-0.6,0.2,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q#3,3,<b>Italy</b>,5,2,0.4,0,0.0,2,0.4,2,1.0,0,1,0.2,0,0.0,10,5,0.5,-0.5,-0.763407,0.125,-0.5,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-uxtYBnMflHjdtukTCogD,advvqa-packet1-b-uxtYBnMflHjdtukTCogD#1,1,<b>9</b>,5,4,0.8,4,1.0,1,0.2,1,1.0,0,0,0.0,0,,10,6,0.6,0.4,-0.321711,0.347222,0.2,0.4,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",64
combined,1,advvqa-packet1-b-uxtYBnMflHjdtukTCogD,advvqa-packet1-b-uxtYBnMflHjdtukTCogD#2,2,<b>4</b>,5,5,1.0,5,1.0,0,0.0,0,,0,0,0.0,0,,10,4,0.4,0.6,-0.121809,0.5,0.6,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",30
combined,1,advvqa-packet1-b-uxtYBnMflHjdtukTCogD,advvqa-packet1-b-uxtYBnMflHjdtukTCogD#3,3,<b>0</b>,5,2,0.4,1,0.5,3,0.6,2,0.666667,1,0,0.0,0,,10,1,0.1,0.4,-0.309619,0.416667,0.1,0.566667,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-vkojuf092xAWYMRJcyHk,advvqa-packet1-b-vkojuf092xAWYMRJcyHk#1,1,<b>Moscow</b>,5,1,0.2,1,1.0,4,0.8,4,1.0,2,0,0.0,0,,10,5,0.5,0.5,-0.556858,0.333333,-0.3,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-vkojuf092xAWYMRJcyHk,advvqa-packet1-b-vkojuf092xAWYMRJcyHk#2,2,<b>Los Angeles</b>,5,2,0.4,1,0.5,1,0.2,1,1.0,0,2,0.4,2,1.0,10,3,0.3,0.2,-0.508691,0.333333,-0.1,0.7,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-vkojuf092xAWYMRJcyHk,advvqa-packet1-b-vkojuf092xAWYMRJcyHk#3,3,<b>Copenhagen</b>,5,2,0.4,2,1.0,2,0.4,2,1.0,1,1,0.2,1,1.0,10,5,0.5,0.5,-0.421027,0.375,-0.1,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE#1,1,<b>Houston</b>,5,2,0.4,2,1.0,3,0.6,3,1.0,1,0,0.0,0,,10,5,0.5,0.5,-0.421027,0.375,-0.1,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE#2,2,<b>Milwaukee</b>,5,1,0.2,1,1.0,4,0.8,4,1.0,2,0,0.0,0,,10,3,0.3,0.7,-0.396673,0.444444,-0.1,0.7,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE#3,3,<b>New Orleans</b>,5,1,0.2,1,1.0,4,0.8,4,1.0,2,0,0.0,0,,10,1,0.1,0.9,-0.197601,0.555556,0.1,0.9,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,2,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC#1,1,<b>Adam</b>,5,5,1.0,5,1.0,0,0.0,0,,0,0,0.0,0,,10,6,0.6,0.4,-0.266302,0.357143,0.4,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",60
combined,2,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC#2,2,<b>Masaccio</b>,5,4,0.8,4,1.0,1,0.2,1,1.0,0,0,0.0,0,,10,7,0.7,0.3,-0.3821,0.277778,0.1,0.3,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",91
combined,2,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC#3,3,<b>Ghent Altarpiece [or The Adoration of the Mystic Lamb]</b>,5,2,0.4,2,1.0,3,0.6,3,1.0,1,0,0.0,0,,10,0,0.0,1.0,0.064847,0.6875,0.4,1.0,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,2,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU#1,1,<b>balalaika</b>,5,3,0.6,3,1.0,2,0.4,2,1.0,0,0,0.0,0,,10,5,0.5,0.5,-0.324904,0.4,0.1,0.5,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",72
combined,2,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU#2,2,<b>accordions</b>,5,5,1.0,5,1.0,0,0.0,0,,0,0,0.0,0,,10,7,0.7,0.3,-0.326691,0.285714,0.3,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",84
combined,2,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU#3,3,<b>birds</b>,5,2,0.4,1,0.5,3,0.6,2,0.666667,1,0,0.0,0,,10,6,0.6,-0.1,-0.737288,0.208333,-0.4,0.066667,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,2,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL#1,1,<b>Kopis</b>,5,1,0.2,0,0.0,4,0.8,4,1.0,1,0,0.0,0,,10,5,0.5,-0.5,-0.763407,0.166667,-0.5,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,2,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL#2,2,<b>Hoplites</b>,5,3,0.6,3,1.0,2,0.4,2,1.0,0,0,0.0,0,,10,8,0.8,0.2,-0.504815,0.2,-0.2,0.2,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",114
combined,2,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL#3,3,<b>Sparta</b>,5,4,0.8,4,1.0,0,0.0,0,,0,1,0.2,0,0.0,10,7,0.7,0.3,-0.3821,0.277778,0.1,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",92
combined,2,advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r,advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r#1,1,"<b>Go west, young man</b>",5,4,0.8,4,1.0,1,0.2,1,1.0,1,0,0.0,0,,10,5,0.5,0.5,-0.253298,0.416667,0.3,0.5,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",53
