qid,bpid,part_number,answerline,plays,parts,directed_count,directed_fraction,directed_accuracy,consulted_count,consulted_fraction,consulted_accuracy,abstain_count,abstain_fraction,abstain_accuracy
advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN#3,3,"<b>Air _Koryo_ (prompt on ""North Korea"")</b>",5,5,1,0.200000,0.000000,2,0.400000,0.500000,2,0.400000,1.000000
advvqa-packet1-b-L70hk4QrJWj64qPc4c56,advvqa-packet1-b-L70hk4QrJWj64qPc4c56#1,1,<b>Kon-Tiki</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-L70hk4QrJWj64qPc4c56,advvqa-packet1-b-L70hk4QrJWj64qPc4c56#2,2,<b>HMS _Beagle_</b>,5,5,3,0.600000,0.666667,2,0.400000,0.500000,0,0.000000,
advvqa-packet1-b-L70hk4QrJWj64qPc4c56,advvqa-packet1-b-L70hk4QrJWj64qPc4c56#3,3,<b>RMS _Lusitania_</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u#1,1,<b>Portuguese</b>,5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u#2,2,<b>Dutch</b>,5,5,5,1.000000,0.800000,0,0.000000,,0,0.000000,
advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u#3,3,<b>English</b>,5,5,3,0.600000,0.666667,2,0.400000,0.500000,0,0.000000,
advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN#1,1,<b>Mexico City</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN#2,2,<b>Tokyo</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN#3,3,<b>Lagos</b>,5,5,3,0.600000,1.000000,1,0.200000,1.000000,1,0.200000,1.000000
advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb#1,1,<b>The Emperor's New Groove</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb#2,2,<b>Indiana Jones and the _Raiders of the Lost Ark_</b>,5,5,2,0.400000,0.500000,1,0.200000,0.000000,2,0.400000,1.000000
advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb#3,3,<b>Casablanca</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4#1,1,<b>Belarus</b>,5,5,3,0.600000,0.666667,1,0.200000,0.000000,1,0.200000,1.000000
advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4#2,2,<b>Madhya Pradesh</b>,5,5,2,0.400000,0.500000,2,0.400000,0.000000,1,0.200000,1.000000
advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4#3,3,<b>_Caprivi_ strip or _Caprivi_zipfel [also accept _Itenge_ or _Okavango_ Panhandle]</b>,5,5,3,0.600000,0.333333,2,0.400000,0.500000,0,0.000000,
advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7#1,1,<b>St. Louis</b>,5,5,4,0.800000,1.000000,1,0.200000,0.000000,0,0.000000,
advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7#2,2,<b>Manaus</b>,5,5,3,0.600000,1.000000,2,0.400000,1.000000,0,0.000000,
advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7#3,3,<b>Chongqing</b>,5,5,2,0.400000,0.500000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu#1,1,<b>D (ORD and IAD)</b>,5,5,2,0.400000,0.500000,3,0.600000,0.666667,0,0.000000,
advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu#2,2,<b>W (BWI and MDW)</b>,5,5,2,0.400000,0.500000,2,0.400000,0.500000,1,0.200000,1.000000
advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu#3,3,<b>K (JFK and PEK)</b>,5,5,1,0.200000,1.000000,3,0.600000,0.666667,1,0.200000,1.000000
advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7#1,1,<b>_Guggenheim_ New York</b>,5,5,3,0.600000,1.000000,2,0.400000,1.000000,0,0.000000,
advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7#2,2,<b>Louvre</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7#3,3,<b>_Vasa_ Museum</b>,5,5,1,0.200000,0.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh#1,1,<b>Big 12</b>,5,5,3,0.600000,0.666667,2,0.400000,0.500000,0,0.000000,
advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh#2,2,<b>Atlantic Coast Conference (ACC)</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh#3,3,<b>Sun Belt</b>,5,5,0,0.000000,,5,1.000000,1.000000,0,0.000000,
advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj#1,1,<b>Sweden</b>,4,4,3,0.750000,1.000000,0,0.000000,,1,0.250000,1.000000
advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj#2,2,<b>Indonesia</b>,4,4,2,0.500000,1.000000,2,0.500000,1.000000,0,0.000000,
advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj#3,3,<b>Chile</b>,4,4,3,0.750000,0.333333,1,0.250000,1.000000,0,0.000000,
advvqa-packet1-b-rBVTER0aClahEXpwAMQm,advvqa-packet1-b-rBVTER0aClahEXpwAMQm#1,1,<b>Canada</b>,5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet1-b-rBVTER0aClahEXpwAMQm,advvqa-packet1-b-rBVTER0aClahEXpwAMQm#2,2,<b>Mali</b>,5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet1-b-rBVTER0aClahEXpwAMQm,advvqa-packet1-b-rBVTER0aClahEXpwAMQm#3,3,<b>Saudi Arabia</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q#1,1,<b>Liechtenstein</b>,5,5,2,0.400000,0.500000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q#2,2,<b>Canada</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q#3,3,<b>Italy</b>,5,5,2,0.400000,0.000000,2,0.400000,1.000000,1,0.200000,0.000000
advvqa-packet1-b-uxtYBnMflHjdtukTCogD,advvqa-packet1-b-uxtYBnMflHjdtukTCogD#1,1,<b>9</b>,5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet1-b-uxtYBnMflHjdtukTCogD,advvqa-packet1-b-uxtYBnMflHjdtukTCogD#2,2,<b>4</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet1-b-uxtYBnMflHjdtukTCogD,advvqa-packet1-b-uxtYBnMflHjdtukTCogD#3,3,<b>0</b>,5,5,2,0.400000,0.500000,3,0.600000,0.666667,0,0.000000,
advvqa-packet1-b-vkojuf092xAWYMRJcyHk,advvqa-packet1-b-vkojuf092xAWYMRJcyHk#1,1,<b>Moscow</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet1-b-vkojuf092xAWYMRJcyHk,advvqa-packet1-b-vkojuf092xAWYMRJcyHk#2,2,<b>Los Angeles</b>,5,5,2,0.400000,0.500000,1,0.200000,1.000000,2,0.400000,1.000000
advvqa-packet1-b-vkojuf092xAWYMRJcyHk,advvqa-packet1-b-vkojuf092xAWYMRJcyHk#3,3,<b>Copenhagen</b>,5,5,2,0.400000,1.000000,2,0.400000,1.000000,1,0.200000,1.000000
advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE#1,1,<b>Houston</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE#2,2,<b>Milwaukee</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE#3,3,<b>New Orleans</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC#1,1,<b>Adam</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC#2,2,<b>Masaccio</b>,5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC#3,3,<b>Ghent Altarpiece [or The Adoration of the Mystic Lamb]</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU#1,1,<b>balalaika</b>,5,5,3,0.600000,1.000000,2,0.400000,1.000000,0,0.000000,
advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU#2,2,<b>accordions</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU#3,3,<b>birds</b>,5,5,2,0.400000,0.500000,3,0.600000,0.666667,0,0.000000,
advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL#1,1,<b>Kopis</b>,5,5,1,0.200000,0.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL#2,2,<b>Hoplites</b>,5,5,3,0.600000,1.000000,2,0.400000,1.000000,0,0.000000,
advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL#3,3,<b>Sparta</b>,5,5,4,0.800000,1.000000,0,0.000000,,1,0.200000,0.000000
advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r,advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r#1,1,"<b>Go west, young man</b>",5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r,advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r#2,2,<b>Rain follows the plow</b>,5,5,3,0.600000,1.000000,1,0.200000,1.000000,1,0.200000,1.000000
advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r,advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r#3,3,<b>Bat Masterson</b>,5,5,0,0.000000,,5,1.000000,0.800000,0,0.000000,
advvqa-packet2-b-ITg3iLtqet63qneCW3ZB,advvqa-packet2-b-ITg3iLtqet63qneCW3ZB#1,1,<b>Starbucks</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-ITg3iLtqet63qneCW3ZB,advvqa-packet2-b-ITg3iLtqet63qneCW3ZB#2,2,<b>Caribou</b>,5,5,2,0.400000,1.000000,3,0.600000,0.333333,0,0.000000,
advvqa-packet2-b-ITg3iLtqet63qneCW3ZB,advvqa-packet2-b-ITg3iLtqet63qneCW3ZB#3,3,<b>Illy</b>,5,5,0,0.000000,,5,1.000000,0.800000,0,0.000000,
advvqa-packet2-b-LrBoBxSjQm3FcWsgeUbQ,advvqa-packet2-b-LrBoBxSjQm3FcWsgeUbQ#1,1,<b>Minas Gerais</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet2-b-LrBoBxSjQm3FcWsgeUbQ,advvqa-packet2-b-LrBoBxSjQm3FcWsgeUbQ#2,2,<b>Brazil</b>,5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet2-b-LrBoBxSjQm3FcWsgeUbQ,advvqa-packet2-b-LrBoBxSjQm3FcWsgeUbQ#3,3,<b>Brasilia</b>,5,5,1,0.200000,1.000000,4,0.800000,0.500000,0,0.000000,
advvqa-packet2-b-MAB7UJUemEjHoda8aW3o,advvqa-packet2-b-MAB7UJUemEjHoda8aW3o#1,1,<b>Canada</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-MAB7UJUemEjHoda8aW3o,advvqa-packet2-b-MAB7UJUemEjHoda8aW3o#2,2,<b>Victoria</b>,5,5,5,1.000000,0.800000,0,0.000000,,0,0.000000,
advvqa-packet2-b-MAB7UJUemEjHoda8aW3o,advvqa-packet2-b-MAB7UJUemEjHoda8aW3o#3,3,<b>Yellowhead Highway [or Yellowhead Pass]</b>,5,5,1,0.200000,0.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet2-b-MsnPvfQ1GANWnPJKPBkf,advvqa-packet2-b-MsnPvfQ1GANWnPJKPBkf#1,1,<b>Frederick Douglass</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-MsnPvfQ1GANWnPJKPBkf,advvqa-packet2-b-MsnPvfQ1GANWnPJKPBkf#2,2,<b>John Brown</b>,5,5,3,0.600000,0.333333,2,0.400000,1.000000,0,0.000000,
advvqa-packet2-b-MsnPvfQ1GANWnPJKPBkf,advvqa-packet2-b-MsnPvfQ1GANWnPJKPBkf#3,3,<b>Helen Pitts [accept Helen; accept Pitts; do not accept Douglass]</b>,5,5,0,0.000000,,5,1.000000,0.600000,0,0.000000,
advvqa-packet2-b-MvloRivBZY8ZBMJpTOKh,advvqa-packet2-b-MvloRivBZY8ZBMJpTOKh#1,1,<b>Battle of Iwo Jima</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-MvloRivBZY8ZBMJpTOKh,advvqa-packet2-b-MvloRivBZY8ZBMJpTOKh#2,2,<b>Douglas MacArthur [accept MacArthur]</b>,5,5,3,0.600000,0.666667,2,0.400000,1.000000,0,0.000000,
advvqa-packet2-b-MvloRivBZY8ZBMJpTOKh,advvqa-packet2-b-MvloRivBZY8ZBMJpTOKh#3,3,<b>Battle of Guadalcanal</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet2-b-N4ReI7qsJK7zvmJDICG3,advvqa-packet2-b-N4ReI7qsJK7zvmJDICG3#1,1,<b>Heracles [or Hercules]</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-N4ReI7qsJK7zvmJDICG3,advvqa-packet2-b-N4ReI7qsJK7zvmJDICG3#2,2,<b>Lysippos</b>,5,5,2,0.400000,0.500000,3,0.600000,1.000000,0,0.000000,
advvqa-packet2-b-N4ReI7qsJK7zvmJDICG3,advvqa-packet2-b-N4ReI7qsJK7zvmJDICG3#3,3,<b>apple [or Golden Apple of the Hesperides]</b>,5,5,3,0.600000,0.666667,2,0.400000,1.000000,0,0.000000,
advvqa-packet2-b-TUBSaSaCWhsEkCcYg8od,advvqa-packet2-b-TUBSaSaCWhsEkCcYg8od#1,1,<b>the Gate of Hell</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet2-b-TUBSaSaCWhsEkCcYg8od,advvqa-packet2-b-TUBSaSaCWhsEkCcYg8od#2,2,<b>Dante Alighieri [accept Dante]</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-TUBSaSaCWhsEkCcYg8od,advvqa-packet2-b-TUBSaSaCWhsEkCcYg8od#3,3,<b>thieves</b>,5,5,2,0.400000,0.500000,3,0.600000,1.000000,0,0.000000,
advvqa-packet2-b-Y1HNUojkbmGvcmuLbJzy,advvqa-packet2-b-Y1HNUojkbmGvcmuLbJzy#1,1,<b>Libya</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-Y1HNUojkbmGvcmuLbJzy,advvqa-packet2-b-Y1HNUojkbmGvcmuLbJzy#2,2,<b>AK-47 [accept machine gun; prompt on gun]</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-Y1HNUojkbmGvcmuLbJzy,advvqa-packet2-b-Y1HNUojkbmGvcmuLbJzy#3,3,<b>cranes [or grey crowned cranes]</b>,5,5,3,0.600000,0.000000,2,0.400000,1.000000,0,0.000000,
advvqa-packet2-b-dmJw487o6olYqnozXGtf,advvqa-packet2-b-dmJw487o6olYqnozXGtf#1,1,<b>Robert Frost</b>,5,5,2,0.400000,0.500000,3,0.600000,0.000000,0,0.000000,
advvqa-packet2-b-dmJw487o6olYqnozXGtf,advvqa-packet2-b-dmJw487o6olYqnozXGtf#2,2,<b>roads</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-dmJw487o6olYqnozXGtf,advvqa-packet2-b-dmJw487o6olYqnozXGtf#3,3,"<b>Out, Out</b>",5,5,2,0.400000,1.000000,3,0.600000,0.666667,0,0.000000,
advvqa-packet2-b-fSvWgAZNctiri89Hu7YT,advvqa-packet2-b-fSvWgAZNctiri89Hu7YT#1,1,<b>Edgar Allan Poe</b>,5,5,4,0.800000,0.750000,1,0.200000,1.000000,0,0.000000,
advvqa-packet2-b-fSvWgAZNctiri89Hu7YT,advvqa-packet2-b-fSvWgAZNctiri89Hu7YT#2,2,<b>The Pit and the Pendulum</b>,5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet2-b-fSvWgAZNctiri89Hu7YT,advvqa-packet2-b-fSvWgAZNctiri89Hu7YT#3,3,<b>For the love of God!</b>,5,5,0,0.000000,,4,0.800000,0.750000,1,0.200000,1.000000
advvqa-packet2-b-kToIbZ1PdvoDXK63Gq3C,advvqa-packet2-b-kToIbZ1PdvoDXK63Gq3C#1,1,<b>10</b>,5,5,4,0.800000,1.000000,1,0.200000,1.000000,0,0.000000,
advvqa-packet2-b-kToIbZ1PdvoDXK63Gq3C,advvqa-packet2-b-kToIbZ1PdvoDXK63Gq3C#2,2,<b>53</b>,5,5,3,0.600000,1.000000,2,0.400000,1.000000,0,0.000000,
advvqa-packet2-b-kToIbZ1PdvoDXK63Gq3C,advvqa-packet2-b-kToIbZ1PdvoDXK63Gq3C#3,3,<b>bags [or sacks; accept xiquipilli]</b>,5,5,0,0.000000,,5,1.000000,0.800000,0,0.000000,
advvqa-packet2-b-pOAjFMEpaeJRwOm4iYiA,advvqa-packet2-b-pOAjFMEpaeJRwOm4iYiA#1,1,<b>beryllium chloride [accept BeCl2]</b>,5,5,2,0.400000,0.500000,3,0.600000,1.000000,0,0.000000,
advvqa-packet2-b-pOAjFMEpaeJRwOm4iYiA,advvqa-packet2-b-pOAjFMEpaeJRwOm4iYiA#2,2,<b>trigonal planar</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-pOAjFMEpaeJRwOm4iYiA,advvqa-packet2-b-pOAjFMEpaeJRwOm4iYiA#3,3,<b>triiodide</b>,5,5,4,0.800000,0.250000,1,0.200000,1.000000,0,0.000000,
advvqa-packet2-b-phDW0Nb5YWdZDLUID6Uc,advvqa-packet2-b-phDW0Nb5YWdZDLUID6Uc#1,1,<b>Napoleon Bonaparte</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-phDW0Nb5YWdZDLUID6Uc,advvqa-packet2-b-phDW0Nb5YWdZDLUID6Uc#2,2,<b>Tuileries</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet2-b-phDW0Nb5YWdZDLUID6Uc,advvqa-packet2-b-phDW0Nb5YWdZDLUID6Uc#3,3,<b>Williams</b>,5,5,1,0.200000,0.000000,1,0.200000,1.000000,3,0.600000,1.000000
advvqa-packet2-b-tyKtCAGg2dI9ZyYhZrcn,advvqa-packet2-b-tyKtCAGg2dI9ZyYhZrcn#1,1,<b>rook</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-tyKtCAGg2dI9ZyYhZrcn,advvqa-packet2-b-tyKtCAGg2dI9ZyYhZrcn#2,2,<b>The Queen's Gambit</b>,5,5,2,0.400000,1.000000,3,0.600000,0.666667,0,0.000000,
advvqa-packet2-b-tyKtCAGg2dI9ZyYhZrcn,advvqa-packet2-b-tyKtCAGg2dI9ZyYhZrcn#3,3,<b>e6</b>,5,5,2,0.400000,0.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet2-b-uMQ0IEOXrY2U4EoBpm1M,advvqa-packet2-b-uMQ0IEOXrY2U4EoBpm1M#1,1,<b>Tiananmen Square</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet2-b-uMQ0IEOXrY2U4EoBpm1M,advvqa-packet2-b-uMQ0IEOXrY2U4EoBpm1M#2,2,<b>Goddess of Democracy [or Spirit of Democracy; or Spirit of Liberty]</b>,5,5,1,0.200000,1.000000,4,0.800000,1.000000,0,0.000000,
advvqa-packet2-b-uMQ0IEOXrY2U4EoBpm1M,advvqa-packet2-b-uMQ0IEOXrY2U4EoBpm1M#3,3,<b>iron rice bowl</b>,5,5,1,0.200000,1.000000,3,0.600000,0.333333,1,0.200000,1.000000
