tournament,packet,qid,observed_parts,total_plays,total_directed_n,total_consulted_n,total_abstain_n,mean_part_human_directed_accuracy,mean_part_standalone_ai_accuracy,mean_part_raw_directed_minus_ai_gap,mean_part_wilson_conservative_gap,mean_part_beta11_strict_adversarial_yield,mean_part_consulted_final_accuracy,mean_part_consulted_final_minus_ai_delta,mean_part_abstain_precision,evidence_flag,adversarial_rank
combined,1,advvqa-packet1-b-jfGHO7KW8eoeGTv50xz7,3,15,9,6,0,0.666667,0.333333,0.333333,-0.266775,0.442857,1.0,0.75,,limited,35
combined,1,advvqa-packet1-b-lxSUo6ZNbRaa4LqQL4lh,3,15,5,10,0,0.833333,0.433333,0.433334,-0.373159,0.358333,0.833333,0.4,,limited,65
combined,1,advvqa-packet1-b-nnHuwWxHdkNpcqGIeNvj,3,12,8,3,1,0.777778,0.133333,0.644444,-0.158588,0.519444,1.0,0.9,1.0,limited,16
combined,1,advvqa-packet1-b-rBVTER0aClahEXpwAMQm,3,15,9,6,0,1.0,0.566667,0.433333,-0.397419,0.342593,1.0,0.433333,,limited,71
combined,1,advvqa-packet1-b-roeIVsFOmO5aMN36AV6Q,3,15,5,9,1,0.5,0.6,-0.1,-0.723017,0.180556,1.0,0.4,0.0,limited,109
combined,1,advvqa-packet1-b-uxtYBnMflHjdtukTCogD,3,15,11,4,0,0.833333,0.366667,0.466667,-0.251046,0.421296,0.833333,0.483334,,limited,30
combined,1,advvqa-packet1-b-vkojuf092xAWYMRJcyHk,3,15,5,7,3,0.833333,0.433333,0.4,-0.495525,0.347222,1.0,0.566667,1.0,limited,94
combined,1,advvqa-packet1-b-x7QBIDWtVZGo2Z996dJE,3,15,4,11,0,1.0,0.3,0.7,-0.338434,0.458333,1.0,0.7,,limited,50
combined,2,advvqa-packet2-b-9VjQ9lBNO6rmQJmE7ftC,3,15,11,4,0,1.0,0.433333,0.566667,-0.194518,0.440807,1.0,0.65,,limited,20
combined,2,advvqa-packet2-b-CXdipkpdbYPo7ZbFSHfU,3,15,10,5,0,0.833333,0.6,0.233333,-0.462961,0.298016,0.833333,0.283334,,limited,86
combined,2,advvqa-packet2-b-E5t10mzhOkAY7T9MNEYL,3,15,8,6,1,0.666667,0.666667,0.0,-0.550107,0.214815,1.0,0.35,0.0,limited,103
combined,2,advvqa-packet2-b-Hk3eje8dauAH8GChRZ0r,3,15,7,7,1,1.0,0.533333,0.45,-0.323308,0.333333,0.933333,0.4,1.0,limited,48
combined,2,advvqa-packet2-b-ITg3iLtqet63qneCW3ZB,3,15,7,8,0,1.0,0.566667,0.4,-0.30097,0.294643,0.566666,0.216666,,limited,43
combined,2,advvqa-packet2-b-LrBoBxSjQm3FcWsgeUbQ,3,15,6,9,0,1.0,0.466667,0.533333,-0.366619,0.361111,0.833333,0.366667,,limited,62
combined,2,advvqa-packet2-b-MAB7UJUemEjHoda8aW3o,3,15,11,4,0,0.6,0.5,0.1,-0.366629,0.244709,1.0,1.0,,limited,63
combined,2,advvqa-packet2-b-MsnPvfQ1GANWnPJKPBkf,3,15,8,7,0,0.666667,0.366667,0.116666,-0.476263,0.325793,0.8,0.6,,limited,87
combined,2,advvqa-packet2-b-MvloRivBZY8ZBMJpTOKh,3,15,9,6,0,0.888889,0.233333,0.655556,-0.19035,0.492857,1.0,0.9,,limited,18
combined,2,advvqa-packet2-b-N4ReI7qsJK7zvmJDICG3,3,15,10,5,0,0.722222,0.166667,0.555556,-0.150255,0.528571,1.0,0.75,,limited,14
combined,2,advvqa-packet2-b-TUBSaSaCWhsEkCcYg8od,3,15,9,6,0,0.833333,0.333333,0.5,-0.267306,0.470238,1.0,0.5,,limited,36
combined,2,advvqa-packet2-b-Y1HNUojkbmGvcmuLbJzy,3,15,13,2,0,0.666667,0.3,0.366667,-0.135385,0.370635,1.0,1.0,,moderate,11
combined,2,advvqa-packet2-b-dmJw487o6olYqnozXGtf,3,15,9,6,0,0.833333,0.3,0.533333,-0.256117,0.474206,0.333334,-0.066666,,limited,33
combined,2,advvqa-packet2-b-fSvWgAZNctiri89Hu7YT,3,15,8,6,1,0.875,0.5,0.375,-0.358032,0.333333,0.916667,0.416667,1.0,limited,57
combined,2,advvqa-packet2-b-kToIbZ1PdvoDXK63Gq3C,3,15,7,8,0,1.0,0.366667,0.45,-0.323308,0.401852,0.933333,0.566667,,limited,49
combined,2,advvqa-packet2-b-pOAjFMEpaeJRwOm4iYiA,3,15,11,4,0,0.583333,0.466667,0.116667,-0.439143,0.255952,1.0,0.75,,limited,81
combined,2,advvqa-packet2-b-phDW0Nb5YWdZDLUID6Uc,3,15,7,5,3,0.666667,0.533333,0.133333,-0.482009,0.232804,1.0,0.65,1.0,limited,88
combined,2,advvqa-packet2-b-tyKtCAGg2dI9ZyYhZrcn,3,15,9,6,0,0.666667,0.566667,0.1,-0.501152,0.292659,0.833333,0.283334,,limited,95
combined,2,advvqa-packet2-b-uMQ0IEOXrY2U4EoBpm1M,3,15,7,7,1,1.0,0.433333,0.566667,-0.300713,0.375661,0.666667,0.516667,1.0,limited,42
combined,2,advvqa-packet2-b-yVSP2w7uG2t93ZoZRLqz,3,12,7,5,0,0.666667,0.4,0.266667,-0.362894,0.321759,0.5,0.2,,limited,59
combined,3,advvqa-packet3-b-4SbH77nDOJp3d4EPQA9e,3,15,2,7,6,0.5,0.2,0.2,-0.451402,0.347222,0.8,0.5,1.0,limited,84
combined,3,advvqa-packet3-b-6eiGnV8rUnGVmskCiQNE,3,15,5,8,2,1.0,0.366667,0.7,-0.20814,0.429167,1.0,0.633333,0.5,limited,24
combined,3,advvqa-packet3-b-BLExSLVdESqnSyJo3zGm,3,15,3,11,1,1.0,0.033333,0.95,-0.066377,0.564815,0.666667,0.633333,1.0,limited,8
combined,3,advvqa-packet3-b-ONKG87Klz56p26affrdR,3,15,5,8,2,0.833333,0.5,0.333333,-0.54892,0.319444,0.777778,0.277778,0.5,limited,102
combined,3,advvqa-packet3-b-UjPfb6xPghtmdOFIMprn,3,15,4,6,5,1.0,0.333333,0.5,-0.437047,0.393518,0.666667,0.333333,1.0,limited,79
combined,3,advvqa-packet3-b-YBQwaXjt8DnhJloIRLAz,3,15,6,9,0,1.0,0.5,0.5,-0.455671,0.361111,1.0,0.5,,limited,85
combined,3,advvqa-packet3-b-Yo4hiZSSGbqYwDokUdMR,3,12,1,10,1,1.0,0.266667,0.9,-0.197601,0.393519,0.333333,0.066667,1.0,limited,21
combined,3,advvqa-packet3-b-ZKCgP29bWtkoBpAtB2RL,3,15,14,1,0,1.0,0.466667,0.533333,-0.190998,0.447751,1.0,0.6,,moderate,19
combined,3,advvqa-packet3-b-bzhflpiTuOX2D1LUuCc4,3,15,5,9,1,0.0,0.5,-0.5,-0.763407,0.138889,0.638889,0.138889,1.0,limited,110
combined,3,advvqa-packet3-b-cXVzhjVfw0rno7WTzhuL,3,15,10,4,1,1.0,0.533333,0.466667,-0.353589,0.365079,1.0,0.45,1.0,limited,54
combined,3,advvqa-packet3-b-d9Cb9JlBYfXpVF42szPr,3,15,5,9,1,1.0,0.5,0.5,-0.357274,0.344444,1.0,0.5,1.0,limited,56
combined,3,advvqa-packet3-b-jcKUHDw334yMauf9RAIR,3,15,8,4,3,1.0,0.333333,0.5,-0.253298,0.430556,0.333333,0.0,1.0,limited,31
combined,3,advvqa-packet3-b-kzerchXe5W8OlwQ0fIt9,3,15,9,6,0,0.666667,0.5,0.166667,-0.535716,0.3,1.0,0.5,,limited,99
combined,3,advvqa-packet3-b-loJyCQy0OKi0ovkJxpV6,3,15,5,10,0,1.0,0.6,0.35,-0.495034,0.277778,1.0,0.4,,limited,93
combined,3,advvqa-packet3-b-r5rihudcKdLdScE2rzk9,3,15,5,10,0,1.0,0.333333,0.666667,-0.317582,0.466666,1.0,0.666667,,limited,47
combined,3,advvqa-packet3-b-rdBFzeM4y9sHCVQfaFs4,3,15,7,8,0,0.666667,0.0,0.666667,-0.017239,0.55,0.388889,0.388889,,limited,5
combined,3,advvqa-packet3-b-t2HZ3kTSmoXtErgbe2m8,3,15,2,12,1,0.5,0.133333,0.3,-0.400412,0.412037,0.416667,0.283333,1.0,limited,72
combined,3,advvqa-packet3-b-v2rXBD7yUVqYjIM179JE,3,15,1,8,6,0.0,0.233333,-0.5,-0.763407,0.333334,0.611111,0.377778,1.0,limited,111
combined,3,advvqa-packet3-b-xQjomkAyJTFMM6ZMoLpD,3,15,4,7,4,0.75,0.2,0.45,-0.365323,0.444444,0.333333,0.133333,1.0,limited,60
combined,3,advvqa-packet3-b-yz1HsdJ9KiZEhgKzaKhU,3,12,4,5,3,1.0,0.5,0.5,-0.440881,0.327778,1.0,0.5,1.0,limited,82
combined,4,advvqa-packet4-b-2BG4UBOVzSW0gRjA32mS,3,15,3,11,1,1.0,0.5,0.55,-0.450902,0.324074,1.0,0.5,1.0,limited,83
combined,4,advvqa-packet4-b-56cbhp0FfN8GmEh3xEEt,3,12,4,3,5,0.75,0.0,0.75,-0.059077,0.534722,0.666667,0.666667,1.0,limited,7
combined,4,advvqa-packet4-b-ENzwKPPns9EUzeByrVyv,3,15,2,10,3,1.0,0.533333,0.5,-0.421027,0.277778,1.0,0.466667,0.75,limited,75
combined,4,advvqa-packet4-b-KmqloGoz75kLD8EJFXKm,3,15,9,5,1,0.875,0.533333,0.275,-0.394728,0.314153,0.875,0.325,1.0,limited,70
combined,4,advvqa-packet4-b-LKmMVniSIVg8XOa3p2Wy,3,15,5,6,4,0.75,0.166667,0.5,-0.253953,0.438889,0.777778,0.611111,1.0,limited,32
combined,4,advvqa-packet4-b-LmjDJkvMoEaXm5ByTPZj,3,15,9,5,1,0.833333,0.566667,0.266667,-0.48771,0.301389,1.0,0.433333,0.0,limited,91
combined,4,advvqa-packet4-b-MDcml0H3P5wwYlhjZdDr,3,15,10,4,1,0.583333,0.0,0.583333,-0.087602,0.509259,0.166667,0.166667,1.0,moderate,10
combined,4,advvqa-packet4-b-P1a1EhFU5deRhjv1AWyS,3,15,7,7,1,0.888889,0.333333,0.555556,-0.317212,0.427778,0.666667,0.333333,1.0,limited,46
combined,4,advvqa-packet4-b-TlZYFJa3StApguWEpOkb,3,15,5,5,5,0.666667,0.0,0.666667,-0.04928,0.560185,0.166667,0.166667,1.0,limited,6
combined,4,advvqa-packet4-b-UuoephrMMiqiFSr4Ycvn,3,15,9,6,0,0.833333,0.5,0.333333,-0.349445,0.312963,0.888889,0.388889,,limited,53
combined,4,advvqa-packet4-b-bqQk9A6lTYVfwzNnVG2N,3,15,4,5,6,0.5,0.0,0.5,-0.177173,0.458333,0.333333,0.333333,0.666667,limited,17
combined,4,advvqa-packet4-b-eHzzmH3cGhitonhUqV84,3,15,7,8,0,0.75,0.6,0.1,-0.523338,0.238095,1.0,0.5,,limited,97
combined,4,advvqa-packet4-b-fIx0tZH6tM6Mgo0Pl54W,3,6,2,4,0,0.5,0.233333,0.0,-0.668876,0.361111,1.0,0.9,,limited,107
combined,4,advvqa-packet4-b-hU9AyK84Jdf1Y6c0bOKp,3,15,13,2,0,0.777778,0.0,0.777778,0.119976,0.646032,0.0,0.0,,moderate,1
combined,4,advvqa-packet4-b-m6WOzxh1Y7LF5nFnxAfw,3,15,6,7,2,0.666667,0.333333,0.166666,-0.513409,0.352778,0.75,0.416667,0.5,limited,96
combined,4,advvqa-packet4-b-pcAndeCbBOtM2yraTYNF,3,15,7,7,1,0.5,0.266667,0.233333,-0.37305,0.390278,0.666667,0.4,1.0,limited,64
combined,4,advvqa-packet4-b-uSO62CnzwnuvORxgPL3I,3,15,11,3,1,1.0,0.533333,0.466667,-0.299988,0.381944,0.5,-0.1,1.0,limited,41
combined,4,advvqa-packet4-b-v634Lk5xHSat6ltEL0gf,3,15,2,7,6,1.0,0.0,1.0,0.064847,0.534722,0.166667,0.166667,1.0,limited,2
combined,4,advvqa-packet4-b-xO8oeYpn6ZRIaYEq5q23,3,15,6,4,5,1.0,0.166667,0.75,-0.081967,0.530555,0.5,0.25,1.0,limited,9
combined,6,advvqa-packet6-b-1j4d3lJUXVn2rNeT3Xrd,3,12,6,6,0,1.0,0.533333,0.466667,-0.438601,0.354167,1.0,0.466667,,limited,80
combined,6,advvqa-packet6-b-27fTybfQpqS2jHuBGUS3,3,15,7,8,0,0.888889,0.333333,0.555556,-0.317211,0.437037,0.5,0.166667,,limited,45
combined,6,advvqa-packet6-b-4LZja6b3chGQMaE0m3fu,3,15,4,9,2,1.0,0.3,0.7,-0.26057,0.469907,0.666667,0.366667,0.5,limited,34
combined,6,advvqa-packet6-b-9WzmiSe6YUFAFljrubkF,3,15,9,6,0,0.666667,0.533333,0.133333,-0.483579,0.302579,0.666667,0.116667,,limited,89
combined,6,advvqa-packet6-b-9X9vNhMfNIXdhqQkaCiH,3,15,12,3,0,0.85,0.533333,0.316667,-0.409421,0.342328,1.0,0.55,,moderate,73
combined,6,advvqa-packet6-b-Ds73TVNCf40b540Eb8jf,3,15,10,3,2,0.833333,0.433333,0.4,-0.341626,0.330026,1.0,0.8,1.0,limited,51
combined,6,advvqa-packet6-b-JKzbXbLotS8SBmmMOJUg,3,15,11,4,0,1.0,0.466667,0.533333,-0.217385,0.430556,0.5,0.033333,,moderate,26
combined,6,advvqa-packet6-b-KbD9Q2kqmTfqG4N0mMkB,3,15,11,4,0,1.0,0.5,0.5,-0.207644,0.410053,0.833333,0.083334,,limited,23
combined,6,advvqa-packet6-b-P6C5mz8x6Z4d7hhm29Z3,3,15,6,8,1,0.9,0.166667,0.65,-0.229428,0.475529,0.4,0.4,1.0,limited,27
combined,6,advvqa-packet6-b-PwecFuqz9PkW7w9i3h89,3,15,2,8,5,0.0,0.0,0.0,-0.277533,0.356482,0.0,0.0,1.0,limited,37
combined,6,advvqa-packet6-b-QhxKV9V9gkaGoY3XajGy,3,15,8,5,2,0.25,0.433333,-0.183333,-0.66598,0.201389,0.5,0.066667,1.0,limited,106
combined,6,advvqa-packet6-b-QoQBrjxPW5Rvb2L6fFQB,3,15,7,8,0,0.555556,0.566667,-0.011111,-0.542361,0.205556,0.5,-0.066667,,limited,100
combined,6,advvqa-packet6-b-baTETx2Qtc2mKc3ksFQM,3,15,12,2,1,0.666667,0.633333,0.033333,-0.423947,0.271958,0.5,0.05,1.0,moderate,76
combined,6,advvqa-packet6-b-gOnh0BaPNHev67IEDmFl,3,15,13,2,0,1.0,0.666667,0.333333,-0.343132,0.3,1.0,0.5,,moderate,52
combined,6,advvqa-packet6-b-lakRBjQNxYPIm34I5v5P,3,15,10,5,0,1.0,0.466667,0.533333,-0.230024,0.428241,1.0,0.533333,,limited,28
combined,6,advvqa-packet6-b-nbgvUfl5c6bosMHTpTEI,3,15,4,10,1,0.666667,0.166667,0.5,-0.301791,0.391204,0.666667,0.5,0.0,limited,44
combined,6,advvqa-packet6-b-s6w3jBy4L5XdERgBD3Q5,3,15,11,4,0,0.75,0.0,0.75,0.042697,0.618386,1.0,1.0,,limited,3
combined,6,advvqa-packet6-b-tDd5rVIqTXVxBJLadeWp,3,15,13,2,0,1.0,0.4,0.6,-0.13788,0.490079,0.5,0.15,,moderate,12
qanta26-offline,1,advvqa-packet1-b-1yNiVz7Urt147ll9mJRl,3,6,3,2,1,1.0,0.5,0.5,-0.488942,0.319444,1.0,0.5,1.0,limited,92
qanta26-offline,1,advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo,3,6,6,0,0,0.833333,0.433333,0.4,-0.389231,0.368056,,,,limited,69
qanta26-offline,4,advvqa-packet4-b-vv1seeDRWcei0NEoFjr6,3,6,5,1,0,0.666667,0.166667,0.5,-0.211238,0.456019,1.0,1.0,,limited,25
qanta26-offline,6,advvqa-packet6-b-5TP90iSsw4rkTsMF4oGI,3,6,1,5,0,0.0,0.366667,0.0,-0.277533,0.25463,0.666667,0.3,,limited,38
qanta26-offline,6,advvqa-packet6-b-qdCUlmDzT4TMxNjhewdp,3,6,3,3,0,0.75,0.4,0.4,-0.486082,0.319444,1.0,0.5,,limited,90
qanta26-online,1,advvqa-packet1-b-1yNiVz7Urt147ll9mJRl,3,9,5,3,1,0.888889,0.366667,0.522222,-0.436735,0.396296,0.5,0.2,1.0,limited,78
qanta26-online,1,advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo,3,9,6,3,0,0.833333,0.333333,0.5,-0.354921,0.438889,0.75,0.25,,limited,55
qanta26-online,4,advvqa-packet4-b-vv1seeDRWcei0NEoFjr6,3,9,7,2,0,0.666667,0.5,0.166667,-0.387978,0.257408,0.0,0.0,,limited,68
qanta26-online,5,advvqa-packet5-b-A0sybq8aS0vV0YnE68wa,3,3,3,0,0,0.333333,0.066667,0.266667,-0.42896,0.365079,,,,limited,77
qanta26-online,5,advvqa-packet5-b-B79Wa1zS67TPcJeWfvAN,3,3,3,0,0,0.333333,0.0,0.333333,-0.365632,0.380952,,,,limited,61
qanta26-online,5,advvqa-packet5-b-CkRAqImfx4uSQFuJQerq,3,3,3,0,0,1.0,0.333333,0.666667,-0.416439,0.412699,,,,limited,74
qanta26-online,5,advvqa-packet5-b-kyljRmn9h0TShMOnPt0T,3,3,3,0,0,0.666667,0.866667,-0.2,-0.838151,0.126984,,,,limited,113
qanta26-online,5,advvqa-packet5-b-l77X1iqdtk6c2FVPelD3,3,3,3,0,0,0.666667,0.666667,0.0,-0.673795,0.238095,,,,limited,108
qanta26-online,5,advvqa-packet5-b-liLieLemlcZEa0EpPe0Y,3,3,3,0,0,0.333333,0.333333,0.0,-0.554138,0.301587,,,,limited,104
qanta26-online,5,advvqa-packet5-b-nE0hRkUiv4spOjGCPI5V,3,3,3,0,0,0.666667,0.0,0.666667,-0.296783,0.476191,,,,limited,40
qanta26-online,5,advvqa-packet5-b-thxXKq7PBLY8EShfF1Gq,3,3,3,0,0,1.0,0.466667,0.533333,-0.528037,0.349206,,,,limited,98
qanta26-online,6,advvqa-packet6-b-5TP90iSsw4rkTsMF4oGI,3,9,3,5,1,1.0,0.666667,0.333333,-0.604945,0.253968,1.0,0.333333,0.0,limited,105
qanta26-online,6,advvqa-packet6-b-qdCUlmDzT4TMxNjhewdp,3,9,3,6,0,1.0,1.0,0.0,-0.793451,0.095238,0.833333,-0.166667,,limited,112
