tournament,packet,qid,answerline,has_image,has_audio,plays,human_first_buzz_n,human_first_buzz_fraction,human_first_correct_n,human_first_buzz_accuracy,human_observed_solve_per_play,human_avg_position,question_max_position,human_avg_position_fraction,standalone_ai_n,standalone_ai_correct_n,standalone_ai_policy_solve_accuracy,standalone_ai_terminal_correct_n,standalone_ai_terminal_accuracy,raw_human_minus_ai_gap,wilson_conservative_gap,beta11_strict_adversarial_yield,logged_ai_first_exposure_n,logged_ai_first_evaluable_n,logged_ai_first_correct_equiv_n,logged_ai_first_accuracy_tie_averaged,logged_ai_first_avg_position,logged_ai_first_avg_position_fraction,logged_ai_first_tied_play_n,evidence_flag,interpretation_note,adversarial_rank
combined,1,advvqa-packet1-t-w1r2V5nR5q9pBrSgEi82,<b>Alexander von __Humboldt__</b>,True,False,5,3,0.6,3,1.0,0.6,52.333,71,0.737089,13,12,0.923077,13,1.0,-0.323077,-0.755565,0.07619,5,5,3.0,0.6,19.8,0.278873,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,75
combined,1,advvqa-packet1-t-w2mhA0hWqQ93KzBmqmec,<b>Berlin</b>,True,False,5,2,0.4,2,1.0,0.4,14.5,114,0.127193,13,10,0.769231,13,1.0,-0.369231,-0.800584,0.114286,4,4,2.0,0.5,10.5,0.092105,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,87
combined,1,advvqa-packet1-t-xXVg1KHjxl7PR2ueDO1C,<b>France</b>,True,False,5,3,0.6,3,1.0,0.6,97.667,105,0.930159,13,3,0.230769,13,1.0,0.369231,-0.271839,0.419048,5,5,0.0,0.0,27.6,0.262857,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,30
combined,2,advvqa-packet2-t-3SJwpETiqeXeVQQeSL2C,<b>Spain</b>,True,False,5,1,0.2,1,1.0,0.2,42.0,97,0.43299,13,8,0.615385,13,1.0,-0.415385,-0.786679,0.114286,5,5,1.167,0.233333,22.8,0.235052,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,80
combined,2,advvqa-packet2-t-3gSnEnS3UTlqHBknG8pf,<b>Self-Actualization</b>,True,False,5,3,0.6,1,0.333333,0.2,41.333,96,0.430556,13,10,0.769231,13,1.0,-0.569231,-0.881981,0.07619,5,5,3.25,0.65,12.6,0.13125,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,94
combined,2,advvqa-packet2-t-5UqzxUX4qK1CA2UYOByP,<b>Catch-22</b>,True,False,5,2,0.4,1,0.5,0.2,58.5,114,0.513158,13,7,0.538462,13,1.0,-0.338462,-0.731715,0.133333,5,5,0.0,0.0,16.8,0.147368,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,72
combined,2,advvqa-packet2-t-BeLRIWMr4JXTcHOWxyUy,<b>Sherlock Holmes</b>,True,False,5,4,0.8,4,1.0,0.8,51.25,96,0.533854,13,13,1.0,13,1.0,-0.2,-0.624465,0.047619,5,5,5.0,1.0,15.6,0.1625,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,61
combined,2,advvqa-packet2-t-EKY1UGSc5TChPU33ARyw,<b>Matsuo Basho</b>,True,False,5,3,0.6,3,1.0,0.6,44.667,80,0.558333,13,10,0.769231,13,1.0,-0.169231,-0.68748,0.152381,5,5,2.0,0.4,21.4,0.2675,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,68
combined,2,advvqa-packet2-t-EmsEd0XimlqZJSW20BPk,<b>Oscar Wilde</b>,True,False,5,5,1.0,4,0.8,0.8,46.2,87,0.531034,13,6,0.461538,13,1.0,0.338462,-0.333027,0.380952,5,5,0.0,0.0,7.8,0.089655,3,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,34
combined,2,advvqa-packet2-t-FoIIY3NZ2zlaiM8m5ssY,<b>predators AND prey [accept Lotka-Volterra equations]</b>,True,False,5,5,1.0,4,0.8,0.8,34.4,71,0.484507,13,0,0.0,0,0.0,0.8,0.147439,0.666667,5,5,0.0,0.0,19.0,0.267606,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,3
combined,2,advvqa-packet2-t-JSgtsRTgAWKoKskUdk5c,<b>rabbits [accept bunnies; accept hares]</b>,True,False,5,4,0.8,3,0.75,0.6,49.0,94,0.521277,13,0,0.0,0,0.0,0.6,0.002629,0.533333,5,5,0.0,0.0,12.8,0.13617,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,8
combined,2,advvqa-packet2-t-LNSFjAxXvMVnSAcBfA2j,<b>Rhinoceros</b>,True,False,5,3,0.6,3,1.0,0.6,59.667,95,0.62807,13,0,0.0,13,1.0,0.6,0.002629,0.533333,5,5,0.0,0.0,19.8,0.208421,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,9
combined,2,advvqa-packet2-t-NXltSnhuRcd4K2l1mZHE,<b>Mexico</b>,True,False,5,5,1.0,5,1.0,1.0,24.0,81,0.296296,13,13,1.0,13,1.0,0.0,-0.434482,0.057143,5,5,5.0,1.0,14.0,0.17284,4,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,42
combined,2,advvqa-packet2-t-OPpqTfpP7LdBBFrDeJAO,<b>Zimbabwe</b>,True,False,5,3,0.6,3,1.0,0.6,47.333,94,0.503546,13,8,0.615385,13,1.0,-0.015385,-0.592179,0.228571,5,5,0.0,0.0,20.8,0.221277,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,59
combined,2,advvqa-packet2-t-RtTjMY8PLfkYYn0C74ri,<b>Soviet Union [or the U.S.S.R.]</b>,True,False,5,5,1.0,5,1.0,1.0,17.4,70,0.248571,13,0,0.0,0,0.0,1.0,0.337422,0.8,4,4,0.0,0.0,14.0,0.2,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,1
combined,2,advvqa-packet2-t-WcEaILk7JG20ddfSX9JM,<b>Hamlet</b>,True,False,5,5,1.0,2,0.4,0.4,53.8,86,0.625581,13,6,0.461538,13,1.0,-0.061538,-0.590941,0.228571,5,5,0.0,0.0,19.8,0.230233,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,58
combined,2,advvqa-packet2-t-XgvmgXLeD6vauaKksUTm,<b>Falklands War</b>,True,False,5,3,0.6,1,0.333333,0.2,55.667,108,0.515432,13,12,0.923077,13,1.0,-0.723077,-0.950065,0.038095,5,5,4.0,0.8,24.6,0.227778,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,97
combined,2,advvqa-packet2-t-ZBkYl7ZwedkrrhTlkylv,<b>The Great Gatsby</b>,True,False,5,5,1.0,5,1.0,1.0,31.8,82,0.387805,13,1,0.076923,13,1.0,0.923077,0.232378,0.742857,5,5,0.0,0.0,12.6,0.153659,4,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,2
combined,2,advvqa-packet2-t-bM0YFWPHlm9W4BbTBPcT,<b>hexagon</b>,True,False,5,5,1.0,4,0.8,0.8,43.0,103,0.417476,13,10,0.769231,13,1.0,0.030769,-0.54267,0.190476,5,5,2.0,0.4,12.0,0.116505,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,54
combined,2,advvqa-packet2-t-lTRxMAHr44dPaBWARrv6,<b>yellow</b>,True,False,5,5,1.0,5,1.0,1.0,45.0,86,0.523256,13,2,0.153846,12,0.923077,0.846154,0.143171,0.685714,5,5,1.5,0.3,21.8,0.253488,3,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,5
combined,2,advvqa-packet2-t-nWa9M3JHZkZUkh4tvZzv,<b>American Flags</b>,True,False,5,5,1.0,4,0.8,0.8,23.4,91,0.257143,13,1,0.076923,10,0.769231,0.723077,0.042395,0.619048,4,4,0.0,0.0,17.0,0.186813,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,6
combined,2,advvqa-packet2-t-qpQRWF7dpNQAkyozTnz7,<b>Catholicism</b>,True,False,5,5,1.0,5,1.0,1.0,53.8,78,0.689744,13,9,0.692308,12,0.923077,0.307692,-0.307675,0.285714,5,5,1.0,0.2,16.4,0.210256,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,32
combined,2,advvqa-packet2-t-tvjdNWhB4uGKe6y8at2B,<b>Metropolis</b>,True,False,5,4,0.8,4,1.0,0.8,29.5,85,0.347059,13,7,0.538462,13,1.0,0.261538,-0.392405,0.333333,5,5,2.5,0.5,13.2,0.155294,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,37
combined,3,advvqa-packet3-t-4p672NRbIAIVCFIsFihp,<b>Apple TV</b>,True,False,5,4,0.8,1,0.25,0.2,58.25,104,0.560096,13,2,0.153846,12,0.923077,0.046154,-0.386122,0.228571,5,5,0.0,0.0,10.2,0.098077,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,36
combined,3,advvqa-packet3-t-5gmjQXFfMhDfYWopYPRR,<b>Ali Baba (and the 40 Thieves)</b>,True,False,5,1,0.2,1,1.0,0.2,38.0,157,0.242038,13,0,0.0,0,0.0,0.2,-0.191871,0.266667,5,5,0.0,0.0,21.4,0.136306,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,25
combined,3,advvqa-packet3-t-8UwxzTV1MdoVkBXntfOe,<b>Foundation</b>,True,False,5,3,0.6,0,0.0,0.0,72.0,131,0.549618,13,3,0.230769,13,1.0,-0.230769,-0.502564,0.104762,5,5,3.0,0.6,26.0,0.198473,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,49
combined,3,advvqa-packet3-t-AJdjjhtK8PcFCMebETh5,<b>Peter Pan</b>,True,False,5,1,0.2,1,1.0,0.2,54.0,101,0.534653,13,3,0.230769,13,1.0,-0.030769,-0.46634,0.209524,5,5,0.0,0.0,7.0,0.069307,5,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,46
combined,3,advvqa-packet3-t-AqgleduJLHjpBkkvNkhC,<b>Journey to the West</b>,True,False,5,3,0.6,3,1.0,0.6,59.333,107,0.554517,13,7,0.538462,11,0.846154,0.061538,-0.537215,0.266667,5,5,2.5,0.5,24.6,0.229907,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,53
combined,3,advvqa-packet3-t-FSlPn89xy82DPpP8gMJD,<b>She-Hulk: Attorney at Law</b>,True,False,5,5,1.0,3,0.6,0.6,42.6,188,0.226596,13,12,0.923077,13,1.0,-0.323077,-0.755565,0.07619,5,5,5.0,1.0,15.6,0.082979,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,76
combined,3,advvqa-packet3-t-Hc46kNNIrL0CrjR6kddu,"<b>Le Petit Prince, The Little Prince</b>",True,False,5,3,0.6,3,1.0,0.6,41.0,142,0.288732,13,0,0.0,0,0.0,0.6,0.002629,0.533333,5,5,0.0,0.0,39.2,0.276056,4,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,10
combined,3,advvqa-packet3-t-IPrurnAQ4gUyv58ITNHx,<b>Andy Warhol</b>,True,False,5,1,0.2,1,1.0,0.2,54.0,163,0.331288,13,6,0.461538,13,1.0,-0.261538,-0.672338,0.152381,5,5,2.0,0.4,15.6,0.095706,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,66
combined,3,advvqa-packet3-t-LB2uc5AFzP7RRrDwahoJ,<b>Guernica</b>,True,False,5,4,0.8,2,0.5,0.4,55.25,103,0.536408,13,10,0.769231,13,1.0,-0.369231,-0.800584,0.114286,5,5,1.667,0.333333,38.8,0.376699,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,88
combined,3,advvqa-packet3-t-OZBuu5dExz2bWouyhXCX,<b>Sand Timer</b>,True,False,5,3,0.6,3,1.0,0.6,87.667,188,0.466312,13,9,0.692308,11,0.846154,-0.092308,-0.642469,0.190476,5,5,1.5,0.3,21.8,0.115957,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,63
combined,3,advvqa-packet3-t-Wg8cJ7C4f7kEHLehSKAu,<b>Kama Sutra</b>,True,False,5,3,0.6,3,1.0,0.6,65.0,110,0.590909,13,9,0.692308,13,1.0,-0.092308,-0.642469,0.190476,5,5,2.667,0.533333,22.2,0.201818,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,64
combined,3,advvqa-packet3-t-Z1PH5PnkeCAYIm1b7Ynk,<b>The Dark Knight</b>,True,False,5,4,0.8,3,0.75,0.6,35.75,118,0.302966,13,10,0.769231,13,1.0,-0.169231,-0.68748,0.152381,5,5,2.0,0.4,17.2,0.145763,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,69
combined,3,advvqa-packet3-t-ZqmYznzm1ets28jyV66W,<b>Lady Gaga</b>,True,False,5,3,0.6,3,1.0,0.6,63.0,113,0.557522,13,5,0.384615,13,1.0,0.215385,-0.414047,0.342857,5,5,0.0,0.0,18.6,0.164602,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,38
combined,3,advvqa-packet3-t-cW8GwQmlfOm4TCbVMrVt,<b>1984</b>,True,False,5,2,0.4,2,1.0,0.4,24.0,80,0.3,13,12,0.923077,13,1.0,-0.523077,-0.868669,0.057143,5,5,5.0,1.0,19.2,0.24,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,91
combined,3,advvqa-packet3-t-fD7iPA1popZRRUN4eZE1,<b>The Italian Job</b>,True,False,5,2,0.4,1,0.5,0.2,56.5,110,0.513636,13,12,0.923077,13,1.0,-0.723077,-0.950065,0.038095,5,5,4.0,0.8,16.8,0.152727,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,98
combined,3,advvqa-packet3-t-hzl498g9RffsMQpA1sRa,<b>Donald Glover</b>,True,False,5,4,0.8,4,1.0,0.8,41.75,89,0.469101,13,4,0.307692,13,1.0,0.492308,-0.200772,0.47619,5,5,0.0,0.0,16.4,0.18427,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,26
combined,3,advvqa-packet3-t-lgOxKPam6BGiv3xhocdG,<b>The Jackbox Party Pack</b>,True,False,5,4,0.8,3,0.75,0.6,22.75,49,0.464286,13,1,0.076923,10,0.769231,0.523077,-0.102415,0.495238,5,5,0.0,0.0,5.0,0.102041,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,16
combined,3,advvqa-packet3-t-lmJujW41V3etZ89PTHFz,<b>Friday</b>,True,False,5,5,1.0,5,1.0,1.0,43.4,142,0.305634,13,13,1.0,13,1.0,0.0,-0.434482,0.057143,5,5,5.0,1.0,9.8,0.069014,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,43
combined,3,advvqa-packet3-t-o4nZbIcZSX4boHBjTZVn,<b>Don Quixote</b>,True,False,5,3,0.6,3,1.0,0.6,83.0,159,0.522013,13,5,0.384615,13,1.0,0.215385,-0.414047,0.342857,5,5,3.0,0.6,8.4,0.05283,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,39
combined,3,advvqa-packet3-t-zlBPTJtFek9Wy05AaPTD,<b>After Hours</b>,True,False,5,2,0.4,1,0.5,0.2,36.5,223,0.163677,13,8,0.615385,13,1.0,-0.415385,-0.786679,0.114286,5,5,0.0,0.0,17.0,0.076233,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,81
combined,4,advvqa-packet4-t-8eOnJExgG3MFgY747W8t,<b>Burj Khalifa</b>,True,False,5,4,0.8,3,0.75,0.6,49.5,73,0.678082,12,5,0.416667,12,1.0,0.183333,-0.449764,0.326531,5,5,0.0,0.0,16.8,0.230137,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,44
combined,4,advvqa-packet4-t-DJPSA5ZzDdNpt5oakqVQ,<b>Santiago</b>,True,False,5,2,0.4,2,1.0,0.4,28.5,42,0.678571,12,11,0.916667,10,0.833333,-0.516667,-0.867514,0.061224,5,5,5.0,1.0,10.0,0.238095,5,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,90
combined,4,advvqa-packet4-t-Ef0Iqz1ZONhttNfXlfLp,<b>Church</b>,True,False,5,4,0.8,3,0.75,0.6,33.75,62,0.544355,12,6,0.5,9,0.75,0.1,-0.515494,0.285714,5,5,1.5,0.3,22.8,0.367742,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,50
combined,4,advvqa-packet4-t-EpS4cHZdIsGK9tbAVLF5,<b>The Sound of Music</b>,True,False,5,5,1.0,4,0.8,0.8,51.2,82,0.62439,12,6,0.5,11,0.916667,0.3,-0.370684,0.357143,5,5,2.0,0.4,13.8,0.168293,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,35
combined,4,advvqa-packet4-t-KZEeKW9mDbCCJPWEBVnm,<b>Germany</b>,True,False,5,2,0.4,0,0.0,0.0,33.0,66,0.5,12,0,0.0,11,0.916667,0.0,-0.242494,0.132653,5,5,0.0,0.0,16.0,0.242424,5,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,29
combined,4,advvqa-packet4-t-Ln23r1ukl5brDWMdHGR0,<b>The Night Watch</b>,True,False,5,5,1.0,5,1.0,1.0,29.8,60,0.496667,12,11,0.916667,11,0.916667,0.083333,-0.419617,0.122449,3,3,3.0,1.0,18.0,0.3,3,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,41
